,flame,human,point,x,y
0,73,1,7,853,204
0,73,1,8,766,507
0,73,1,11,830,500
0,73,1,12,809,660
0,73,1,13,805,774
0,73,1,14,766,290
0,73,1,15,793,290
0,73,1,16,747,294
0,73,1,17,814,287
0,74,1,0,782,303
0,74,1,1,784,361
0,74,1,2,738,368
0,74,1,5,830,352
0,74,1,6,895,278
0,74,1,7,853,204
0,74,1,8,766,507
0,74,1,11,830,498
0,74,1,12,809,660
0,74,1,13,805,774
0,74,1,14,766,290
0,74,1,15,793,290
0,74,1,16,747,294
0,74,1,17,814,287
0,75,1,0,782,303
0,75,1,1,784,359
0,75,1,2,738,366
0,75,1,5,830,352
0,75,1,6,895,278
0,75,1,7,853,202
0,75,1,8,763,512
0,75,1,9,731,626
0,75,1,11,828,500
0,75,1,12,809,660
0,75,1,13,805,774
0,75,1,14,766,292
0,75,1,15,793,287
0,75,1,16,747,294
0,75,1,17,814,287
0,76,1,0,782,303
0,76,1,1,784,359
0,76,1,2,738,366
0,76,1,5,830,352
0,76,1,6,895,278
0,76,1,7,853,202
0,76,1,8,763,512
0,76,1,9,731,626
0,76,1,11,826,500
0,76,1,12,821,598
0,76,1,14,766,292
0,76,1,15,793,287
0,76,1,16,747,294
0,76,1,17,814,287
0,77,1,0,782,303
0,77,1,1,784,359
0,77,1,2,738,366
0,77,1,5,830,352
0,77,1,6,895,278
0,77,1,7,856,204
0,77,1,8,759,500
0,77,1,11,821,491
0,77,1,12,809,663
0,77,1,13,805,771
0,77,1,14,768,290
0,77,1,15,793,290
0,77,1,16,750,294
0,77,1,17,814,287
0,78,1,0,782,303
0,78,1,1,784,359
0,78,1,2,738,364
0,78,1,5,830,352
0,78,1,6,895,278
0,78,1,7,856,204
0,78,1,8,759,500
0,78,1,11,821,491
0,78,1,12,809,663
0,78,1,13,805,774
0,78,1,14,768,290
0,78,1,15,793,290
0,78,1,16,750,294
0,78,1,17,814,287
0,79,1,0,782,303
0,79,1,1,784,359
0,79,1,2,738,366
0,79,1,5,830,352
0,79,1,6,897,278
0,79,1,7,853,202
0,79,1,8,768,514
0,79,1,11,830,503
0,79,1,12,809,663
0,79,1,13,805,771
0,79,1,14,768,290
0,79,1,15,793,290
0,79,1,16,750,292
0,79,1,17,814,287
0,80,1,0,782,303
0,80,1,1,784,359
0,80,1,2,738,366
0,80,1,5,830,352
0,80,1,6,897,278
0,80,1,7,853,202
0,80,1,8,768,514
0,80,1,11,830,503
0,80,1,12,809,663
0,80,1,13,805,771
0,80,1,14,768,290
0,80,1,15,793,287
0,80,1,16,750,294
0,80,1,17,814,287
0,81,1,0,782,303
0,81,1,1,784,357
0,81,1,2,740,364
0,81,1,5,830,352
0,81,1,6,897,278
0,81,1,7,856,202
0,81,1,8,770,507
0,81,1,9,733,626
0,81,1,11,828,496
0,81,1,12,809,660
0,81,1,13,805,771
0,81,1,14,768,292
0,81,1,15,793,287
0,81,1,16,750,294
0,81,1,17,814,287
0,82,1,0,782,303
0,82,1,1,784,357
0,82,1,2,740,364
0,82,1,5,830,352
0,82,1,6,897,278
0,82,1,7,856,202
0,82,1,8,770,507
0,82,1,9,733,626
0,82,1,11,828,496
0,82,1,12,809,660
0,82,1,13,805,771
0,82,1,14,766,292
0,82,1,15,793,290
0,82,1,16,750,294
0,82,1,17,814,287
0,83,1,0,782,303
0,83,1,1,784,359
0,83,1,2,738,366
0,83,1,5,830,352
0,83,1,6,897,278
0,83,1,7,853,202
0,83,1,8,766,507
0,83,1,9,731,626
0,83,1,11,823,498
0,83,1,12,809,660
