,frame,human,point,x,y
0,89,1,5,850,316
0,89,1,6,850,202
0,89,1,7,850,140
0,89,1,8,774,422
0,89,1,9,860,496
0,89,1,10,852,608
0,89,1,11,740,396
0,89,1,12,660,498
0,89,1,13,604,570
0,89,1,17,904,314
0,90,1,2,890,386
0,90,1,5,850,318
0,90,1,6,850,204
0,90,1,7,850,140
0,90,1,8,772,422
0,90,1,9,860,496
0,90,1,10,854,608
0,90,1,11,740,394
0,90,1,12,660,500
0,90,1,13,604,570
0,90,1,17,906,314
0,91,1,2,890,386
0,91,1,5,850,318
0,91,1,6,850,204
0,91,1,7,850,140
0,91,1,8,772,422
0,91,1,9,860,496
0,91,1,10,854,608
0,91,1,11,740,394
0,91,1,12,660,500
0,91,1,13,604,570
0,91,1,17,906,314
0,92,1,2,890,386
0,92,1,5,852,320
0,92,1,6,850,206
0,92,1,7,850,142
0,92,1,8,774,422
0,92,1,9,860,496
0,92,1,10,852,608
0,92,1,11,742,396
0,92,1,12,660,500
0,92,1,13,604,570
0,92,1,15,906,308
0,92,1,17,908,318
0,93,1,2,890,386
0,93,1,5,852,320
0,93,1,6,850,206
0,93,1,7,850,142
0,93,1,8,774,422
0,93,1,9,860,496
0,93,1,10,852,608
0,93,1,11,742,396
0,93,1,12,660,500
0,93,1,13,604,570
0,93,1,15,906,308
0,93,1,17,908,318
0,94,1,2,890,388
0,94,1,5,858,324
0,94,1,6,850,210
0,94,1,7,850,142
0,94,1,8,772,418
0,94,1,9,862,498
0,94,1,10,852,608
0,94,1,11,746,392
0,94,1,12,662,500
0,94,1,13,604,572
0,94,1,17,910,320
0,95,1,2,890,388
0,95,1,5,858,324
0,95,1,6,850,210
0,95,1,7,850,142
0,95,1,8,772,418
0,95,1,9,862,498
0,95,1,10,852,608
0,95,1,11,746,392
0,95,1,12,662,500
0,95,1,13,604,572
0,95,1,17,910,320
0,96,1,2,890,390
0,96,1,5,858,322
0,96,1,6,852,212
0,96,1,7,852,144
0,96,1,8,770,416
0,96,1,9,862,498
0,96,1,10,854,610
0,96,1,11,744,392
0,96,1,12,662,502
0,96,1,13,604,572
0,96,1,15,910,314
0,96,1,17,912,324
0,97,1,2,890,390
0,97,1,5,858,322
0,97,1,6,852,212
0,97,1,7,852,144
0,97,1,8,770,416
0,97,1,9,862,498
0,97,1,10,854,610
0,97,1,11,744,392
0,97,1,12,662,502
0,97,1,13,604,572
0,97,1,15,910,314
0,97,1,17,912,324
0,98,1,2,888,390
0,98,1,5,858,322
0,98,1,6,854,206
0,98,1,7,852,144
0,98,1,8,770,418
0,98,1,9,862,498
0,98,1,10,852,612
0,98,1,11,744,394
0,98,1,12,660,502
0,98,1,13,604,572
0,98,1,17,912,326
0,98,2,16,916,326
0,98,2,2,862,326
0,98,2,3,856,206
0,98,2,4,854,146
0,99,1,2,888,390
0,99,1,5,858,322
0,99,1,6,854,206
0,99,1,7,852,144
