,frame,human,point,x,y
0,120,1,17,665,173
0,122,1,0,620,177
0,122,1,1,645,244
0,122,1,2,602,248
0,122,1,5,686,242
0,122,1,6,766,260
0,122,1,7,846,238
0,122,1,8,600,390
0,122,1,9,602,527
0,122,1,10,604,634
0,122,1,11,655,394
0,122,1,12,708,527
0,122,1,13,782,647
0,122,1,14,614,167
0,122,1,15,632,165
0,122,1,17,665,173
0,124,1,0,618,177
0,124,1,1,645,242
0,124,1,2,602,246
0,124,1,5,686,242
0,124,1,6,764,260
0,124,1,7,846,238
0,124,1,8,600,388
0,124,1,9,602,529
0,124,1,10,604,634
0,124,1,11,655,394
0,124,1,12,673,468
0,124,1,14,614,167
0,124,1,15,632,165
0,124,1,17,665,173
0,126,1,0,618,177
0,126,1,1,643,244
0,126,1,2,600,250
0,126,1,5,684,242
0,126,1,6,764,260
0,126,1,7,846,238
0,126,1,8,600,394
0,126,1,9,602,527
0,126,1,10,604,636
0,126,1,11,657,399
0,126,1,12,708,527
0,126,1,13,782,647
0,126,1,14,614,167
0,126,1,15,632,165
0,126,1,17,665,173
0,128,1,0,618,177
0,128,1,1,645,242
0,128,1,2,602,248
0,128,1,5,684,242
0,128,1,6,764,260
0,128,1,7,844,238
0,128,1,8,600,392
0,128,1,9,602,529
0,128,1,10,604,636
0,128,1,11,655,399
0,128,1,12,714,529
0,128,1,14,614,167
0,128,1,15,632,165
0,128,1,17,665,173
0,130,1,0,618,177
0,130,1,1,643,244
0,130,1,2,600,250
0,130,1,3,585,327
0,130,1,5,684,242
0,130,1,6,764,260
0,130,1,7,844,238
0,130,1,8,600,394
0,130,1,9,602,529
0,130,1,10,604,636
0,130,1,11,655,399
0,130,1,12,712,529
0,130,1,14,614,167
0,130,1,15,632,165
0,130,1,17,665,173
0,132,1,0,618,177
0,132,1,1,645,242
0,132,1,2,602,248
0,132,1,5,684,242
0,132,1,6,764,260
0,132,1,7,844,238
0,132,1,8,597,394
0,132,1,9,602,527
0,132,1,10,604,636
0,132,1,11,653,399
0,132,1,12,710,527
0,132,1,13,782,649
0,132,1,14,614,167
0,132,1,15,632,165
0,132,1,17,665,173
0,134,1,0,618,177
0,134,1,1,645,242
0,134,1,2,602,248
0,134,1,5,684,242
0,134,1,6,762,260
0,134,1,7,846,238
0,134,1,8,600,392
0,134,1,9,602,527
0,134,1,10,604,636
0,134,1,11,655,399
0,134,1,12,710,527
0,134,1,13,782,649
0,134,1,14,614,169
0,134,1,15,632,165
0,134,1,17,665,173
0,136,1,0,618,177
0,136,1,1,645,242
0,136,1,2,602,248
0,136,1,5,684,242
0,136,1,6,764,260
0,136,1,7,844,240
0,136,1,8,597,392
0,136,1,9,602,529
0,136,1,10,604,636
0,136,1,11,655,397
0,136,1,12,671,470
0,136,1,14,614,169
0,136,1,15,632,165
0,136,1,17,665,173
0,138,1,0,618,179
0,138,1,1,645,240
0,138,1,2,604,244
0,138,1,5,684,242
0,138,1,6,764,260
0,138,1,7,844,240
0,138,1,8,597,392
0,138,1,9,602,531
0,138,1,10,604,636
0,138,1,11,653,399
0,138,1,12,710,529
0,138,1,13,762,604
0,138,1,14,612,169
0,138,1,15,632,167
0,138,1,17,665,173
0,140,1,0,618,179
0,140,1,1,645,242
0,140,1,2,602,246
0,140,1,5,684,242
0,140,1,6,762,260
0,140,1,7,844,240
0,140,1,8,597,394
0,140,1,9,602,529
0,140,1,10,604,636
0,140,1,11,655,399
0,140,1,12,712,531
0,140,1,13,782,649
0,140,1,14,612,169
0,140,1,15,632,167
0,140,1,17,665,175
0,142,1,0,618,179
0,142,1,1,643,244
0,142,1,2,600,250
0,142,1,5,684,244
0,142,1,6,764,260
0,142,1,7,844,240
0,142,1,8,597,392
0,142,1,9,602,529
0,142,1,10,604,638
0,142,1,11,655,399
0,142,1,12,712,531
0,142,1,13,760,602
0,142,1,14,614,169
0,142,1,15,632,167
0,142,1,17,665,175
0,144,1,0,618,179
0,144,1,1,643,244
0,144,1,2,600,250
0,144,1,5,684,244
0,144,1,6,764,260
0,144,1,7,844,240
0,144,1,8,597,392
0,144,1,9,602,531
0,144,1,10,604,638
0,144,1,11,655,399
0,144,1,12,712,531
0,144,1,13,762,606
0,144,1,14,612,171
0,144,1,15,632,167
0,144,1,17,665,175
0,146,1,0,618,181
0,146,1,1,643,244
0,146,1,2,602,248
0,146,1,5,684,244
0,146,1,6,762,260
0,146,1,7,844,240
0,146,1,8,597,392
0,146,1,9,602,531
0,146,1,10,604,638
0,146,1,11,653,399
0,146,1,12,708,527
0,146,1,13,760,604
0,146,1,14,612,171
0,146,1,15,632,167
0,146,1,17,665,175
0,148,1,0,618,181
0,148,1,1,645,244
0,148,1,2,604,246
0,148,1,5,684,244
0,148,1,6,762,262
0,148,1,7,844,240
0,148,1,8,595,390
0,148,1,9,602,529
0,148,1,10,604,638
0,148,1,11,653,399
0,148,1,12,712,529
0,148,1,13,762,608
0,148,1,14,612,171
0,148,1,15,632,169
0,148,1,17,665,175
0,150,1,0,618,181
0,150,1,1,647,240
0,150,1,2,608,238
0,150,1,5,684,244
0,150,1,6,762,262
0,150,1,7,844,240
0,150,1,8,597,392
0,150,1,9,602,531
0,150,1,10,604,638
0,150,1,11,653,399
0,150,1,12,712,531
0,150,1,13,760,606
0,150,1,14,612,171
0,150,1,15,632,169
0,150,1,17,663,175
0,152,1,0,618,181
0,152,1,1,645,242
0,152,1,2,606,244
0,152,1,5,682,246
0,152,1,6,762,262
0,152,1,7,844,240
