,flame,human,point,x,y
0,92,2,0,606,536
0,92,2,1,580,558
0,92,2,2,560,548
0,92,2,5,592,570
0,92,2,16,592,524
0,92,2,14,604,526
0,92,2,15,614,530
0,94,1,0,892,190
0,94,1,1,910,248
0,94,1,2,862,254
0,94,1,3,844,338
0,94,1,4,880,406
0,94,1,5,962,242
0,94,1,6,976,296
0,94,1,7,936,316
0,94,1,8,872,410
0,94,1,9,862,538
0,94,1,10,846,646
0,94,1,11,932,412
0,94,1,12,930,570
0,94,1,13,918,646
0,94,1,14,878,184
0,94,1,15,900,174
0,94,1,16,868,194
0,94,1,17,920,174
0,94,2,0,600,538
0,94,2,1,580,560
0,94,2,2,564,550
0,94,2,5,594,568
0,94,2,16,588,528
0,94,2,14,598,530
0,94,2,15,608,532
0,96,1,0,892,190
0,96,1,1,916,244
0,96,1,2,866,250
0,96,1,3,846,330
0,96,1,4,890,382
0,96,1,5,966,238
0,96,1,6,962,290
0,96,1,7,902,278
0,96,1,8,876,410
0,96,1,9,862,508
0,96,1,10,872,602
0,96,1,11,942,408
0,96,1,12,934,512
0,96,1,14,878,184
0,96,1,15,900,176
0,96,1,16,874,190
0,96,1,17,926,172
0,98,1,0,890,192
0,98,1,1,920,244
0,98,1,2,874,250
0,98,1,3,852,326
0,98,1,4,892,362
0,98,1,5,968,240
0,98,1,6,946,294
0,98,1,7,874,260
0,98,1,8,880,412
0,98,1,9,854,522
0,98,1,10,896,580
0,98,1,11,950,414
0,98,1,12,934,530
0,98,1,13,920,646
0,98,1,14,880,184
0,98,1,15,898,176
0,98,1,17,934,174
0,100,1,0,888,194
0,100,1,1,924,246
0,100,1,2,882,250
0,100,1,3,864,322
0,100,1,4,892,356
0,100,1,5,966,244
0,100,1,6,928,306
0,100,1,7,862,264
0,100,1,8,892,410
0,100,1,9,854,516
0,100,1,10,916,564
0,100,1,11,956,412
0,100,1,12,938,552
0,100,1,13,920,650
0,100,1,14,880,186
0,100,1,15,898,180
0,100,1,17,934,176
0,102,1,0,886,198
0,102,1,1,928,250
0,102,1,2,890,252
0,102,1,3,878,326
0,102,1,4,894,358
0,102,1,5,964,248
0,102,1,6,918,322
0,102,1,7,850,280
0,102,1,8,900,408
0,102,1,9,862,528
0,102,1,11,958,416
0,102,1,12,940,552
0,102,1,13,920,652
0,102,1,14,880,188
0,102,1,15,896,184
0,102,1,17,934,182
0,104,1,0,884,202
0,104,1,1,930,256
0,104,1,2,900,256
0,104,1,3,894,334
0,104,1,4,900,368
0,104,1,5,958,256
0,104,1,6,922,338
0,104,1,7,848,310
0,104,1,8,908,412
0,104,1,9,880,538
0,104,1,11,960,416
0,104,1,12,944,560
0,104,1,14,878,192
0,104,1,15,896,188
0,104,1,17,932,188
0,106,1,0,884,206
0,106,1,1,934,258
0,106,1,2,908,258
0,106,1,3,910,342
0,106,1,4,906,382
0,106,1,5,958,258
0,106,1,6,938,344
0,106,1,7,860,344
0,106,1,8,918,418
0,106,1,9,900,536
0,106,1,10,970,622
0,106,1,11,966,420
0,106,1,12,942,556
0,106,1,13,922,656
0,106,1,14,878,196
0,106,1,15,894,192
0,106,1,17,930,192
0,108,1,0,882,208
0,108,1,1,936,260
0,108,1,2,910,260
0,108,1,3,916,346
0,108,1,4,910,386
0,108,1,5,958,262
0,108,1,6,950,350
0,108,1,7,878,370
0,108,1,8,928,416
0,108,1,9,932,542
0,108,1,10,980,630
0,108,1,11,972,420
0,108,1,12,946,548
0,108,1,13,922,654
0,108,1,14,880,198
0,108,1,15,892,196
0,108,1,17,928,194
0,110,1,0,882,210
0,110,1,1,938,262
0,110,1,2,912,264
0,110,1,3,918,342
0,110,1,4,914,396
0,110,1,5,964,262
0,110,1,6,966,348
0,110,1,7,902,386
0,110,1,8,936,424
0,110,1,9,946,534
0,110,1,10,926,656
0,110,1,11,980,424
0,110,1,12,962,538
0,110,1,13,984,636
0,110,1,14,880,200
0,110,1,15,892,196
0,110,1,17,928,196
0,112,1,0,880,208
0,112,1,1,940,264
0,112,1,2,908,268
0,112,1,3,918,344
0,112,1,4,920,412
0,112,1,5,968,258
0,112,1,6,986,344
0,112,1,7,928,386
0,112,1,8,946,426
0,112,1,9,956,536
0,112,1,10,938,652
0,112,1,11,990,420
0,112,1,12,974,546
0,112,1,13,986,636
0,112,1,14,880,200
0,112,1,15,890,196
0,112,1,17,926,196
0,114,1,0,880,208
0,114,1,1,940,264
0,114,1,2,906,274
0,114,1,3,918,354
0,114,1,4,924,422
0,114,1,5,974,256
0,114,1,6,1006,334
0,114,1,7,954,384
0,114,1,8,950,416
0,114,1,9,964,540
0,114,1,10,986,634
0,114,1,11,998,408
0,114,1,12,982,550
0,114,1,13,956,648
0,114,1,14,880,198
0,114,1,15,890,196
0,114,1,17,926,196
0,116,1,0,880,208
0,116,1,1,940,266
0,116,1,2,904,278
0,116,1,3,918,358
0,116,1,4,924,432
0,116,1,5,974,252
0,116,1,6,1024,324
0,116,1,7,976,376
0,116,1,8,952,416
0,116,1,9,966,520
0,116,1,10,974,578
0,116,1,11,1004,406
0,116,1,12,1006,514
0,116,1,13,980,644
0,116,1,14,880,198
0,116,1,15,890,196
0,116,1,17,924,196
0,118,1,0,878,208
0,118,1,1,940,268
0,118,1,2,902,284
0,118,1,3,914,362
0,118,1,4,918,438
0,118,1,5,976,252
0,118,1,6,1034,316
0,118,1,7,990,372
0,118,1,8,958,420
0,118,1,9,978,550
0,118,1,10,984,640
0,118,1,11,1012,410
0,118,1,12,1016,552
0,118,1,13,1002,650
0,118,1,14,880,200
0,118,1,15,888,198
0,118,1,17,922,200
0,120,1,0,880,208
0,120,1,1,938,266
0,120,1,2,900,284
0,120,1,3,906,364
0,120,1,4,906,436
0,120,1,5,978,248
0,120,1,6,1042,308
0,120,1,7,998,368
0,120,1,8,960,416
0,120,1,9,976,542
0,120,1,10,988,638
0,120,1,11,1018,404
0,120,1,12,1028,550
0,120,1,13,1026,648
0,120,1,15,888,196
0,120,1,17,922,198
0,122,1,0,880,206
0,122,1,1,938,266
0,122,1,2,898,286
0,122,1,3,896,366
0,122,1,4,886,440
0,122,1,5,980,246
0,122,1,6,1046,302
0,122,1,7,1006,360
0,122,1,8,964,422
0,122,1,9,976,530
0,122,1,10,988,638
0,122,1,11,1024,408
0,122,1,12,1038,520
0,122,1,13,1046,648
0,122,1,15,888,194
0,122,1,17,924,198
0,124,1,0,880,206
0,124,1,1,938,268
0,124,1,2,896,286
0,124,1,3,884,366
0,124,1,4,866,438
0,124,1,5,980,246
0,124,1,6,1048,298
0,124,1,7,1010,358
0,124,1,8,966,422
0,124,1,9,976,536
0,124,1,10,988,640
0,124,1,11,1026,406
0,124,1,12,1052,526
0,124,1,13,1062,650
0,124,1,15,890,196
0,124,1,17,926,198
0,124,2,0,616,544
0,124,2,16,598,530
0,124,2,14,614,534
0,124,2,15,624,536
0,126,1,0,882,206
0,126,1,1,938,270
0,126,1,2,894,290
0,126,1,3,872,362
0,126,1,4,844,432
0,126,1,5,982,248
0,126,1,6,1048,296
0,126,1,7,1010,358
0,126,1,8,966,426
0,126,1,9,976,540
0,126,1,10,990,644
0,126,1,11,1026,404
0,126,1,12,1056,526
0,126,1,13,1072,650
0,126,1,14,882,198
0,126,1,15,892,196
